number,alacrity,ability,observation,logical,result
0,67,74,99,86,1
1,87,93,88,74,5
2,90,69,93,80,4
3,90,91,82,67,12
4,72,97,60,97,9
5,60,80,76,72,5
6,79,80,81,71,6
7,63,70,98,95,1
8,89,71,96,82,4
9,97,76,87,78,3
10,60,72,88,76,1
11,98,97,69,92,11
12,69,88,88,68,5
13,70,60,86,79,1
14,98,66,97,92,3
15,64,82,93,86,1
16,78,86,85,78,5
17,83,74,79,92,8
18,83,66,99,63,4
19,64,80,80,81,10
20,82,99,90,61,5
21,76,96,71,62,12
22,79,100,89,92,9
23,74,70,84,73,4
24,97,72,87,91,7
25,80,72,64,66,11
26,78,70,62,93,8
27,66,71,76,87,2
28,86,70,74,68,3
29,100,60,62,97,7
30,87,66,74,60,3
31,81,80,85,92,2
32,64,88,92,77,6
33,84,79,71,72,11
34,100,67,93,61,3
35,91,79,91,70,3
36,61,67,85,72,1
37,93,83,84,70,3
38,79,79,82,100,2
39,72,89,60,66,12
40,98,80,84,94,7
41,73,80,88,67,6
42,76,61,80,88,2
43,65,99,68,72,9
44,98,95,75,83,11
45,100,76,94,70,3
46,97,75,66,94,7
47,72,84,76,89,10
48,80,69,99,90,1
49,68,87,65,78,9
50,69,61,87,74,1
51,73,92,97,93,1
52,99,86,68,90,7
53,97,97,68,92,11
54,62,94,63,65,9
55,83,98,81,76,12
56,88,96,76,86,12
57,70,81,77,86,10
58,79,80,79,71,12
59,98,65,66,90,7
60,82,97,63,99,10
61,88,76,95,77,4
62,82,65,79,88,8
63,75,79,100,75,6
64,65,87,73,87,9
65,66,74,99,75,1
66,66,87,66,96,10
67,63,95,61,92,9
68,66,93,79,76,5
69,100,67,82,79,3
70,64,85,83,98,10
71,100,72,68,66,11
72,65,88,92,77,6
73,93,68,70,66,3
74,63,98,76,97,9
75,83,83,75,96,8
76,62,89,67,78,9
77,84,91,97,68,6
78,85,64,88,71,4
79,88,82,66,84,7
80,93,95,88,99,10
81,91,83,100,63,4
82,68,86,79,94,10
83,66,62,86,88,2
84,92,86,88,83,3
85,94,62,94,74,3
86,81,88,89,69,6
87,79,95,81,94,9
88,81,89,83,68,5
89,70,62,74,84,2
90,73,93,92,67,5
91,90,81,71,81,11
92,63,96,91,89,5
93,87,68,92,86,4
94,60,71,79,92,2
95,77,68,100,74,4
96,97,90,77,85,11
97,76,75,95,76,4
98,85,71,60,86,8
99,83,90,74,79,12
100,80,61,68,75,7
101,80,76,61,64,11
102,81,96,95,76,5
103,79,76,77,84,8
104,83,75,69,93,8
105,63,100,70,97,9
106,82,75,95,91,1
107,61,87,81,98,10
108,67,65,94,98,2
109,76,99,63,77,9
110,76,75,72,90,8
111,60,87,66,77,9
112,86,63,96,70,4
113,100,62,86,87,7
114,86,96,90,74,5
115,91,89,88,97,8
116,99,63,74,82,7
117,79,76,61,65,11
118,79,83,98,88,1
119,66,90,87,92,10
120,78,77,81,88,2
121,94,71,98,98,1
122,64,67,70,62,6
123,61,79,74,95,10
124,65,90,83,61,5
125,86,77,79,71,3
126,83,93,74,89,9
127,76,99,95,81,5
128,72,99,90,60,5
129,95,61,68,99,8
130,93,98,74,98,9
131,94,70,99,100,2
132,94,90,61,90,11
133,86,94,71,89,9
134,63,84,80,94,10
135,83,80,63,92,8
136,89,88,92,95,2
137,70,63,79,85,2
138,91,76,70,68,11
139,79,90,73,78,12
140,82,96,98,79,6
141,89,71,77,63,3
142,89,63,92,81,4
143,89,86,92,77,4
144,71,63,84,80,1
145,93,85,85,75,11
146,60,100,66,89,9
147,61,90,68,75,9
148,95,69,98,67,4
149,74,60,98,91,1
150,78,94,62,64,12
151,64,73,87,92,2
152,81,87,96,78,6
153,60,90,94,77,6
154,73,83,80,80,5
155,63,91,80,64,5
156,67,69,100,62,6
157,68,92,86,97,10
158,62,68,84,62,6
159,100,88,79,70,11
160,96,96,93,89,11
161,79,89,91,70,6
162,60,82,88,69,6
163,72,96,87,79,5
164,91,67,96,86,4
165,100,86,93,91,3
166,85,78,66,93,8
167,74,79,67,70,12
168,75,67,80,82,2
169,100,70,94,63,3
170,86,72,78,92,8
171,89,71,74,98,8
172,91,83,71,99,8
173,83,62,95,97,2
174,100,71,72,93,7
175,76,91,72,82,9
176,67,85,98,78,6
177,69,99,66,68,12
178,89,98,77,97,9
179,91,89,76,99,8
180,83,85,61,83,12
181,85,62,74,72,3
182,88,73,68,66,11
183,94,74,70,69,11
184,72,80,73,74,9
185,96,91,64,68,11
186,73,99,78,81,9
187,68,62,63,67,7
188,91,98,79,82,12
189,93,93,64,68,11
190,98,98,62,69,11
191,93,69,96,64,4
192,94,63,92,74,3
193,64,99,75,100,10
194,91,83,77,61,11
195,88,71,98,75,4
196,95,97,80,66,12
197,67,94,71,86,9
198,67,62,85,68,1
199,81,82,85,65,6
200,61,64,86,65,1
201,67,64,91,75,1
202,84,85,69,61,12
203,79,78,100,87,1
204,78,85,78,100,10
205,66,64,82,91,2
206,69,69,90,84,1
207,75,80,91,97,2
208,75,65,63,79,8
209,69,98,89,68,5
210,87,91,80,75,12
211,67,83,68,73,9
212,77,79,94,61,6
213,92,66,72,79,7
214,63,88,100,85,6
215,80,71,80,67,3
216,73,75,64,72,12
217,66,66,72,62,4
218,62,70,74,62,6
219,93,63,69,60,3
220,74,100,68,100,9
221,93,68,73,100,8
